id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
747443,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:29:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747442,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:30:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747441,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:31:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747440,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:32:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747439,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:33:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747438,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:34:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747437,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:35:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747436,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:36:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747435,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:37:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747434,1,1815,1815,1815,1815,0,36930,001020,"2021-10-12 11:38:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747433,1,1810,1810,1810,1810,56,36986,001020,"2021-10-12 11:39:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747432,1,1810,1810,1810,1810,0,36986,001020,"2021-10-12 11:40:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747431,1,1805,1805,1805,1805,16,37002,001020,"2021-10-12 11:41:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747430,1,1810,1810,1810,1810,1,37003,001020,"2021-10-12 11:42:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747429,1,1810,1810,1810,1810,0,37003,001020,"2021-10-12 11:43:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747428,1,1810,1810,1810,1810,55,37058,001020,"2021-10-12 11:44:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747427,1,1815,1815,1815,1815,1,37059,001020,"2021-10-12 11:45:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747426,1,1815,1815,1815,1815,0,37059,001020,"2021-10-12 11:46:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747425,1,1815,1815,1815,1815,200,37259,001020,"2021-10-12 11:47:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747424,1,1815,1815,1815,1815,1,37260,001020,"2021-10-12 11:48:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747423,1,1815,1815,1815,1815,450,37710,001020,"2021-10-12 11:49:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747422,1,1820,1815,1815,1820,47,37757,001020,"2021-10-12 11:50:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747421,1,1820,1820,1820,1820,30,37787,001020,"2021-10-12 11:51:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747420,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:52:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747419,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:53:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747418,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:54:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747417,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:55:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747416,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:56:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747415,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:57:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747414,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:58:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747413,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 11:59:00","2022-11-10 04:59:53","2022-11-10 04:59:53"
747412,1,1820,1820,1820,1820,0,37787,001020,"2021-10-12 12:00:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747411,1,1815,1815,1815,1815,6,37793,001020,"2021-10-12 12:01:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747410,1,1810,1810,1810,1810,122,37915,001020,"2021-10-12 12:02:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747409,1,1805,1805,1805,1805,44,37959,001020,"2021-10-12 12:03:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
747408,1,1815,1815,1815,1815,1,37960,001020,"2021-10-12 12:04:00","2022-11-10 04:59:52","2022-11-10 04:59:52"
